PLAYER NAME|CLUB|LEAGUE|POS|OVR|PAC|SHO|PAS|DRI|DEF|PHY
João Moutinho|Wolves|Premier League|CM|83|82|80|72|81|31|77
Christian Pulisic|Chelsea|Premier League|LW|83|81|45|64|72|84|78
Erik Botheim|FK Bodø/Glimt|Eliteserien|ST|83|69|67|84|88|72|70
Rafael Tolói|Bergamo Calcio|Serie A TIM|CB|83|69|71|82|81|80|84
Jesper Karlsson|AZ|Eredivisie|LW|83|82|75|78|79|77|81
Jonny Evans|Leicester City|Premier League|CB|83|68|49|55|63|84|87
Josh Pask|Coventry City|EFL Championship|CB|83|81|76|82|87|51|61
Ogechika Heil|Go Ahead Eagles|Eredivisie|LW|83|60|71|76|76|81|82
Everton|SL Benfica|Liga Portugal|LW|83|71|86|76|86|30|71
Mohammed Kudus|Ajax|Eredivisie|CAM|83|63|83|59|70|52|86
Ibrahim Sangaré|PSV|Eredivisie|CDM|83|78|71|82|84|76|70
Renaud Ripart|ESTAC Troyes|Ligue 1 Uber Eats|ST|83|77|54|68|71|84|79
Jordan Amavi|OM|Ligue 1 Uber Eats|LB|83|81|42|68|70|83|86
Gaëtan Laborde|Stade Rennais FC|Ligue 1 Uber Eats|ST|83|69|83|65|77|36|69
Angelo Ogbonna|West Ham|Premier League|CB|83|67|55|64|59|85|78
Téji Savanier|Montpellier|Ligue 1 Uber Eats|CAM|83|84|81|72|86|39|73
Luis Díaz|FC Porto|Liga Portugal|LM|83|59|72|75|78|84|75
Iniesta|Vissel Kobe|Meiji Yasuda J1 League|CAM|83|66|83|71|78|45|76
Donyell Malen|Borussia Dortmund|Bundesliga|ST|83|70|51|71|74|84|78
Victor Osimhen|Napoli|Serie A TIM|ST|83|86|74|78|79|77|80
Denis Zakaria|M'gladbach|Bundesliga|CDM|83|92|64|76|79|78|84
Vinícius Jr.|Real Madrid|LaLiga Santander|LW|83|61|72|81|79|82|79
Raúl Jiménez|Wolves|Premier League|ST|83|66|55|76|72|84|76
Alex Sandro|Piemonte Calcio|Serie A TIM|LB|83|75|43|68|64|84|84
Canales|Real Betis|LaLiga Santander|CM|83|70|69|83|88|69|70
Lucas Ocampos|Sevilla FC|LaLiga Santander|LW|83|74|79|84|83|55|65
Joel Matip|Liverpool|Premier League|CB|83|85|83|78|87|49|74
Duván Zapata|Bergamo Calcio|Serie A TIM|ST|83|82|79|76|86|40|68
Aaron Wan-Bissaka|Manchester Utd|Premier League|RB|83|76|38|61|71|84|81
Federico Chiesa|Piemonte Calcio|Serie A TIM|RW|83|99|82|73|86|36|87
Gayà|Valencia CF|LaLiga Santander|LB|83|93|83|78|85|45|76
Leonardo Spinazzola|Roma FC|Serie A TIM|LWB|83|91|36|60|70|83|81
Juan Cuadrado|Piemonte Calcio|Serie A TIM|RB|83|93|83|78|82|50|95
Kostas Manolas|Napoli|Serie A TIM|CB|83|90|81|75|86|35|60
Francesco Acerbi|Latium|Serie A TIM|CB|83|72|68|82|81|77|78
Ousmane Dembélé|FC Barcelona|LaLiga Santander|RW|83|79|41|60|70|84|84
Marco Asensio|Real Madrid|LaLiga Santander|RW|83|87|80|79|86|58|73
Kevin Volland|AS Monaco|Ligue 1 Uber Eats|ST|83|62|80|83|85|68|74
Henrikh Mkhitaryan|Roma FC|Serie A TIM|CF|83|83|82|68|79|34|86
Allan|Everton|Premier League|CDM|83|82|80|82|86|72|75
Paulinho|Al Ahli|MBS Pro League|CM|83|92|79|78|83|68|82
Merino|Real Sociedad|LaLiga Santander|CM|83|51|61|78|70|83|80
Carlos Vela|LAFC|Major League Soccer|RW|83|85|67|72|78|77|72
Morata|Piemonte Calcio|Serie A TIM|ST|83|71|65|75|80|82|78
Jules Koundé|Sevilla FC|LaLiga Santander|CB|83|96|77|75|87|56|65
Arthur|Piemonte Calcio|Serie A TIM|CM|83|88|83|78|83|45|76
Thomas Partey|Arsenal|Premier League|CM|83|83|67|79|85|74|60
Robin Gosens|Bergamo Calcio|Serie A TIM|LM|83|62|78|88|81|53|52
Sebastián Coates|Sporting CP|Liga Portugal|CB|83|82|79|78|82|35|66
Muniain|Athletic Club|LaLiga Santander|CAM|83|71|72|81|88|69|72
Pierre-Emile Højbjerg|Spurs|Premier League|CDM|83|72|68|78|79|80|81
Andrej Kramarić|TSG Hoffenheim|Bundesliga|ST|83|60|61|70|71|84|81
Wout Weghorst|VfL Wolfsburg|Bundesliga|ST|83|82|81|79|84|45|72
Angeliño|RB Leipzig|Bundesliga|LWB|83|66|87|79|83|34|68
Lucas Hernández|FC Bayern München|Bundesliga|LB|83|80|85|72|84|38|72
Presnel Kimpembe|Paris SG|Ligue 1 Uber Eats|CB|83|77|62|76|78|81|84
Mauro Icardi|Paris SG|Ligue 1 Uber Eats|ST|83|69|79|80|88|52|59
Simon Kjær|Milan|Serie A TIM|CB|83|44|84|73|75|44|80
Gabriel Jesus|Manchester City|Premier League|ST|83|75|82|65|77|35|74
Fernandinho|Manchester City|Premier League|CDM|83|60|72|78|75|80|81
Edin Džeko|Inter|Serie A TIM|ST|83|91|80|82|84|42|67
John Stones|Manchester City|Premier League|CB|83|71|81|81|83|66|76
Federico Valverde|Real Madrid|LaLiga Santander|CM|83|76|78|83|81|71|77
Ferland Mendy|Real Madrid|LaLiga Santander|LB|83|65|39|62|64|84|87
Axel Witsel|Borussia Dortmund|Bundesliga|CDM|83|87|76|77|84|46|72
Azpilicueta|Chelsea|Premier League|CB|83|65|82|65|75|30|85
Antonio Rüdiger|Chelsea|Premier League|CB|83|83|80|77|81|48|80
Mateo Kovačić|Chelsea|Premier League|CM|83|88|55|73|81|78|70
Mason Mount|Chelsea|Premier League|CAM|83|95|68|76|83|75|80
Ángel Correa|Atlético de Madrid|LaLiga Santander|ST|83|71|83|67|78|47|84
João Félix|Atlético de Madrid|LaLiga Santander|CF|83|81|79|78|83|48|69
Thomas Lemar|Atlético de Madrid|LaLiga Santander|LM|83|94|76|76|88|40|68
Ibrahima Konaté|Liverpool|Premier League|CB|82|87|79|76|84|65|86
Loïs Openda|Vitesse|Eredivisie|ST|82|91|77|77|86|33|68
Andreas Skov Olsen|Club Brugge|1A Pro League|CAM|82|64|60|73|74|83|82
Maxence Lacroix|VfL Wolfsburg|Bundesliga|CB|82|72|85|80|86|46|73
Veton Berisha|Viking FK|Eliteserien|ST|82|74|83|74|83|38|71
Rodrygo|Real Madrid|LaLiga Santander|LW|82|81|43|66|76|83|81
Bruno Guimarães|Newcastle Utd|Premier League|CM|82|91|64|76|81|76|69
Wesley Fofana|Leicester City|Premier League|CB|82|85|80|76|87|49|53
Kaoru Mitoma|Union SG|1A Pro League|LM|82|64|64|80|79|81|80
Kerem Demirbay|Leverkusen|Bundesliga|CM|82|69|80|80|81|71|80
Moussa Dembélé|OL|Ligue 1 Uber Eats|ST|82|84|85|80|83|48|74
Ryan Gravenberch|Ajax|Eredivisie|CM|82|88|57|76|79|77|80
Craig Goodwin|Adelaide United|A-League|CAM|82|79|80|84|84|49|70
Conor Coady|Wolves|Premier League|CB|82|79|84|81|85|66|60
Matty Cash|Aston Villa|Premier League|RB|82|70|78|82|82|74|75
Wataru Endo|VfB Stuttgart|Bundesliga|CM|82|80|84|62|78|30|81
Gelson Martins|AS Monaco|Ligue 1 Uber Eats|LM|82|75|78|82|84|44|66
Cody Gakpo|PSV|Eredivisie|LW|82|87|78|71|88|50|80
Jesús Corona|Sevilla FC|LaLiga Santander|RM|82|80|82|74|83|41|75
Christian Eriksen|Brentford|Premier League|CM|82|86|58|74|74|78|84
Ferran Torres|FC Barcelona|LaLiga Santander|RW|82|64|43|64|67|84|86
Tanguy Ndombele|OL|Ligue 1 Uber Eats|CAM|82|76|82|82|83|64|66
Matt Doherty|Spurs|Premier League|RWB|82|91|61|74|80|74|83
Guido Rodríguez|Real Betis|LaLiga Santander|CDM|82|78|73|77|83|79|80
Ricardo Horta|SC Braga|Liga Portugal|LF|82|90|65|75|81|75|75
Fabio Quagliarella|Sampdoria|Serie A TIM|ST|82|88|82|78|85|45|76
De Tomás|RCD Espanyol|LaLiga Santander|ST|82|76|38|61|71|84|81
Ramy Bensebaini|M'gladbach|Bundesliga|LWB|82|85|39|62|70|83|82
Coutinho|Aston Villa|Premier League|CAM|82|78|76|80|82|71|79
Olivier Giroud|Milan|Serie A TIM|ST|82|79|82|81|83|71|80
Tammy Abraham|Roma FC|Serie A TIM|ST|82|65|68|83|81|75|67
Nemanja Maksimović|Getafe CF|LaLiga Santander|CM|82|75|73|79|81|80|85
Sonny Kittel|Hamburger SV|Bundesliga 2|CM|82|93|78|74|84|33|64
Antonín Barák|Hellas Verona|Serie A TIM|RF|82|76|69|81|84|80|81
Benjamin Bourigeaud|Stade Rennais FC|Ligue 1 Uber Eats|LM|82|80|76|77|82|78|83
Sven Botman|LOSC Lille|Ligue 1 Uber Eats|CB|82|75|81|67|74|48|87
Jack Harrison|Leeds United|Premier League|LM|82|69|37|64|64|83|81
Ludovic Ajorque|Strasbourg|Ligue 1 Uber Eats|ST|82|79|80|84|84|49|70
Puertas|Granada CF|LaLiga Santander|RM|82|85|84|70|83|34|71
Héctor Bellerín|Real Betis|LaLiga Santander|RB|82|76|76|81|86|55|65
David Raum|TSG Hoffenheim|Bundesliga|LWB|82|95|82|73|84|26|72
Paulinho|Sporting CP|Liga Portugal|ST|82|60|41|70|68|82|80
Jarrod Bowen|West Ham|Premier League|RM|82|65|42|59|51|83|81
Antony|Ajax|Eredivisie|RW|82|69|79|80|88|52|59
Nicolò Zaniolo|Roma FC|Serie A TIM|CF|82|75|82|74|82|44|72
Deulofeu|Udinese|Serie A TIM|CF|82|66|68|72|73|82|83
Romain Saïss|Wolves|Premier League|CB|82|83|67|79|85|74|60
Gabriel|Arsenal|Premier League|CB|82|68|74|83|82|71|72
Luis Miguel Rodríguez|Gimnasia|Liga Profesional de Fútbol|CF|82|62|75|84|82|76|71
Patrik Schick|Leverkusen|Bundesliga|ST|82|64|72|74|74|82|85
Ezri Konsa|Aston Villa|Premier League|CB|82|80|83|81|83|52|75
Álex Moreno|Real Betis|LaLiga Santander|LB|82|83|73|82|78|77|73
Ángel Mena|León|LIGA BBVA MX|RM|82|81|30|66|69|83|78
Jonas Hector|1. FC Köln|Bundesliga|LB|82|71|38|67|70|84|80
Mario Pašalić|Bergamo Calcio|Serie A TIM|LF|82|84|82|68|79|29|69
Amine Gouiri|OGC Nice|Ligue 1 Uber Eats|LM|82|72|45|67|66|83|79
Hamari Traoré|Stade Rennais FC|Ligue 1 Uber Eats|RB|82|67|76|81|86|50|60
Xherdan Shaqiri|OL|Ligue 1 Uber Eats|CAM|82|77|74|83|84|58|62
Enis Bardhi|Levante UD|LaLiga Santander|CM|82|60|65|70|72|85|88
Sergi Darder|RCD Espanyol|LaLiga Santander|CM|82|57|79|85|78|75|69
Dušan Vlahović|Fiorentina|Serie A TIM|ST|82|61|72|79|77|79|79
Vincenzo Grifo|SC Freiburg|Bundesliga|LM|82|83|78|73|83|53|80
Tom Barkhuizen|Preston|EFL Championship|RM|82|83|68|76|76|79|82
Mehdi Taremi|FC Porto|Liga Portugal|ST|82|90|79|78|80|59|79
Christian Günter|SC Freiburg|Bundesliga|LWB|82|76|46|52|61|83|84
Duje Ćaleta-Car|OM|Ligue 1 Uber Eats|CB|82|78|83|58|78|35|76
Antonio Candreva|Sampdoria|Serie A TIM|RM|82|76|47|63|68|81|83
Joakim Mæhle|Bergamo Calcio|Serie A TIM|RWB|82|67|49|71|65|84|83
Jude Bellingham|Borussia Dortmund|Bundesliga|CM|82|93|78|74|84|33|64
Wilson Manafá|FC Porto|Liga Portugal|RB|82|68|75|83|84|55|69
Alex Teixeira|Beşiktaş|Süper Lig|ST|82|65|68|83|81|75|67
Ibrahima Konaté|Liverpool|Premier League|CB|82|40|41|62|63|86|73
Fikayo Tomori|Milan|Serie A TIM|CB|82|45|64|82|79|83|72
Rodrigo Javier De Paul|Atlético de Madrid|LaLiga Santander|CM|82|64|72|79|82|66|67
Guus Til|Feyenoord|Eredivisie|CAM|82|89|77|73|87|34|75
Miralem Pjanić|Beşiktaş|Süper Lig|CM|82|59|75|85|77|74|73
Aurélien Tchouaméni|AS Monaco|Ligue 1 Uber Eats|CM|82|80|55|73|76|81|81
Leon Bailey|Aston Villa|Premier League|RM|82|63|78|79|82|74|71
Eduardo Camavinga|Real Madrid|LaLiga Santander|CM|82|78|79|82|82|59|67
Seko Fofana|RC Lens|Ligue 1 Uber Eats|CM|82|71|72|81|88|69|72
Paul Ebere Onuachu|KRC Genk|1A Pro League|ST|82|84|81|73|85|57|77
Aritz Elustondo|Real Sociedad|LaLiga Santander|CB|82|76|76|82|85|32|55
Xherdan Shaqiri|OL|Ligue 1 Uber Eats|RW|82|81|43|62|68|81|81
Francesco Caputo|Sampdoria|Serie A TIM|ST|82|89|83|75|86|27|67
Florian Wirtz|Leverkusen|Bundesliga|CAM|82|75|78|84|84|54|60
Ismaïla Sarr|Watford|Premier League|RM|82|61|84|81|81|60|73
David García|CA Osasuna|LaLiga Santander|CB|82|91|76|76|84|49|72
Niklas Süle|FC Bayern München|Bundesliga|CB|82|82|65|78|82|76|68
Coutinho|Aston Villa|Premier League|CAM|82|69|62|71|78|83|77
Alexandre Lacazette|Arsenal|Premier League|ST|82|66|53|71|74|81|79
Marten de Roon|Bergamo Calcio|Serie A TIM|CDM|82|75|49|72|71|83|80
Jesús Corona|FC Porto|Liga Portugal|RM|82|86|83|75|81|48|80
Campaña|Levante UD|LaLiga Santander|CM|82|68|40|56|68|85|78
Éver Banega|Al Shabab|MBS Pro League|CDM|82|82|79|78|82|35|66
Tomáš Souček|West Ham|Premier League|CDM|82|80|51|60|61|82|87
Mário Fernandes|CSKA Moscow|League of Russia|RB|82|80|61|66|72|78|89
Anderson Talisca|Al Nassr|MBS Pro League|CF|82|62|78|88|81|53|52
Alex Telles|Manchester Utd|Premier League|LB|82|87|65|81|83|74|71
Joe Gomez|Liverpool|Premier League|CB|82|67|75|84|85|59|57
Pau Torres|Villarreal CF|LaLiga Santander|CB|82|82|84|82|80|55|70
Alexander Isak|Real Sociedad|LaLiga Santander|ST|82|66|75|80|88|59|59
Clément Lenglet|FC Barcelona|LaLiga Santander|CB|82|80|76|80|85|52|66
Dani Olmo|RB Leipzig|Bundesliga|CAM|82|78|78|78|80|84|87
Martin Ødegaard|Arsenal|Premier League|CAM|82|71|78|78|79|78|79
Palhinha|Sporting CP|Liga Portugal|CDM|82|78|76|80|82|71|79
Ivan Rakitić|Sevilla FC|LaLiga Santander|CM|82|83|50|69|71|83|82
Manuel Locatelli|Piemonte Calcio|Serie A TIM|CDM|82|76|53|77|78|78|75
Richarlison|Everton|Premier League|ST|82|96|67|71|82|75|75
Yuri Berchiche|Athletic Club|LaLiga Santander|LB|82|89|70|73|86|37|59
Portu|Real Sociedad|LaLiga Santander|RW|82|79|80|81|85|36|69
Cristian Romero|Spurs|Premier League|CB|82|66|78|86|82|72|74
Youssef En-Nesyri|Sevilla FC|LaLiga Santander|ST|82|68|76|78|81|80|85
Diego Carlos|Sevilla FC|LaLiga Santander|CB|82|63|83|63|74|34|88
Gabriel Paulista|Valencia CF|LaLiga Santander|CB|82|82|83|74|84|41|75
Leon Bailey|Aston Villa|Premier League|RM|82|83|75|82|82|71|77
Mario Götze|PSV|Eredivisie|CAM|82|83|75|82|82|71|77
Miralem Pjanić|FC Barcelona|LaLiga Santander|CM|82|82|68|77|80|78|72
Raúl Albiol|Villarreal CF|LaLiga Santander|CB|82|74|76|83|82|70|74
Daley Blind|Ajax|Eredivisie|CB|82|48|58|65|65|83|91
Florian Neuhaus|M'gladbach|Bundesliga|CM|82|98|79|74|85|40|71
Wilfried Zaha|Crystal Palace|Premier League|LF|82|85|81|82|83|73|80
Rúben Neves|Wolves|Premier League|CM|82|80|83|80|82|46|75
Nicolás Tagliafico|Ajax|Eredivisie|LB|82|85|57|72|77|80|82
Fabián|Napoli|Serie A TIM|CM|82|83|44|65|72|82|84
Oscar|Shanghai Port|Chinese Football Association Super League|CAM|82|83|75|80|84|77|80
Tanguy Ndombele|OL|Ligue 1 Uber Eats|CAM|82|70|82|60|80|38|80
Diogo Jota|Liverpool|Premier League|LW|82|40|37|60|70|83|87
Suso|Sevilla FC|LaLiga Santander|RW|82|77|84|64|80|29|80
Dayot Upamecano|FC Bayern München|Bundesliga|CB|82|75|78|81|83|70|72
Luis Muriel|Bergamo Calcio|Serie A TIM|ST|82|80|80|79|83|46|68
James Maddison|Leicester City|Premier League|CAM|82|78|77|76|84|42|67
Lars Stindl|M'gladbach|Bundesliga|CAM|82|83|61|75|76|83|84
Raphinha|Leeds United|Premier League|RM|82|43|38|60|53|83|80
Juan Bernat|Paris SG|Ligue 1 Uber Eats|LB|82|87|80|79|84|36|66
Idrissa Gueye|Paris SG|Ligue 1 Uber Eats|CDM|82|91|79|72|87|40|67
Declan Rice|West Ham|Premier League|CDM|82|57|51|63|62|84|81
Mario Hermoso|Atlético de Madrid|LaLiga Santander|CB|82|70|77|85|82|50|54
Ante Rebić|Milan|Serie A TIM|LM|82|91|84|68|82|42|72
Alessio Romagnoli|Milan|Serie A TIM|CB|82|91|77|70|86|49|64
Ferran Torres García|Manchester City|Premier League|RW|82|82|80|81|82|77|88
Pepe|FC Porto|Liga Portugal|CB|82|77|39|69|73|82|84
Denzel Dumfries|Inter|Serie A TIM|RB|82|70|75|79|79|77|81
Christian Eriksen|Inter|Serie A TIM|CM|82|60|38|51|57|83|81
Rafa|SL Benfica|Liga Portugal|RM|82|78|47|72|74|81|86
Grimaldo|SL Benfica|Liga Portugal|LB|82|64|79|80|78|78|83
Hakan Çalhanoğlu|Inter|Serie A TIM|CAM|82|75|84|72|80|48|81
Gareth Bale|Real Madrid|LaLiga Santander|RM|82|77|81|71|80|42|81
Isco|Real Madrid|LaLiga Santander|CAM|82|82|58|70|75|82|82
Thorgan Hazard|Borussia Dortmund|Bundesliga|LM|82|79|43|51|66|84|84
Emre Can|Borussia Dortmund|Bundesliga|CM|82|74|72|81|81|79|79
Saúl|Chelsea|Premier League|CM|82|95|71|76|87|58|71
Rodrigo Javier De Paul|Atlético de Madrid|LaLiga Santander|CM|82|75|85|66|80|44|85
Éder Militão|Real Madrid|LaLiga Santander|CB|82|85|72|76|87|51|53
Ben Chilwell|Chelsea|Premier League|LWB|82|84|62|74|79|77|72
Alphonso Davies|FC Bayern München|Bundesliga|LB|82|65|49|63|63|83|86
Christian Pulisic|Chelsea|Premier League|LW|82|84|74|77|84|56|76
Domenico Berardi|Sassuolo|Serie A TIM|RW|82|79|83|57|77|37|84
Fayçal Fajr|Sivasspor|Süper Lig|CAM|81|87|80|73|85|35|68
Ryan Jack|Rangers|cinch Premiership|CM|81|75|77|81|82|64|66
Vedat Muriqi|RCD Mallorca|LaLiga Santander|ST|81|64|81|81|82|40|66
Rubén Castro|FC Cartagena|LaLiga SmartBank|ST|81|75|68|80|83|78|81
İrfan Can Kahveci|Fenerbahçe|Süper Lig|RM|81|83|66|80|83|74|72
İrfan Can Kahveci|Fenerbahçe|Süper Lig|RM|81|75|76|82|83|69|73
Cédric|Arsenal|Premier League|RB|81|81|83|58|78|41|77
Adrien Thomasson|Strasbourg|Ligue 1 Uber Eats|CM|81|68|78|76|79|72|77
Nicolas Pallois|FC Nantes|Ligue 1 Uber Eats|CB|81|79|83|75|81|34|76
Moses Simon|FC Nantes|Ligue 1 Uber Eats|ST|81|89|73|78|80|78|74
Sean McConville|Accrington|EFL League One|LM|81|70|77|81|85|37|68
Mark Uth|1. FC Köln|Bundesliga|CAM|81|65|76|83|81|75|82
Lutsharel Geertruida|Feyenoord|Eredivisie|RB|81|85|80|76|87|42|70
Moussa Niakhaté|1. FSV Mainz 05|Bundesliga|CB|81|63|51|67|64|82|83
Gedson Fernandes|Çaykur Rizespor|Süper Lig|CM|81|89|73|78|80|78|74
Serdar Dursun|Fenerbahçe|Süper Lig|ST|81|91|82|66|70|43|93
Yunis Abdelhamid|Stade de Reims|Ligue 1 Uber Eats|CB|81|92|78|73|84|31|74
Toni Martínez|FC Porto|Liga Portugal|ST|81|92|78|75|85|43|61
Jordi Quintillà|FC Basel 1893|Credit Suisse Super League|CM|81|78|75|75|82|72|78
Florian Kainz|1. FC Köln|Bundesliga|LM|81|78|75|75|82|72|78
Roland Sallai|SC Freiburg|Bundesliga|RM|81|87|82|79|80|45|72
Dávid Hancko|Sparta Praha|Česká Liga|CB|81|52|37|60|64|84|78
Romain Thomas|Angers SCO|Ligue 1 Uber Eats|CB|81|87|78|78|82|47|64
Leandro Trossard|Brighton|Premier League|LWB|81|78|80|81|80|53|69
Samuel Chukwueze|Villarreal CF|LaLiga Santander|RM|81|74|81|70|76|36|85
Craig Dawson|West Ham|Premier League|CB|81|83|66|81|78|76|83
Magnus Wolff Eikrem|Molde FK|Eliteserien|ST|81|77|76|83|83|61|76
Rhys Healey|Toulouse FC|Ligue 2 BKT|ST|81|83|83|70|80|47|78
Nicolás González|Fiorentina|Serie A TIM|RW|81|94|78|73|81|32|72
Lukas Provod|Slavia Praha|Česká Liga|CDM|81|64|44|60|67|83|77
William Saliba|OM|Ligue 1 Uber Eats|CB|81|81|42|72|79|78|73
Yannick Gerhardt|VfL Wolfsburg|Bundesliga|LWB|81|75|84|82|83|47|72
Grant Hanley|Norwich|Premier League|CB|81|81|70|79|78|78|75
Alexander Djiku|Strasbourg|Ligue 1 Uber Eats|CB|81|93|63|72|80|83|81
Uroš Đurđević|R. Sporting|LaLiga SmartBank|ST|81|77|71|76|82|78|79
Andreas Bouchalakis|Olympiacos CFP|Hellas Liga|CM|81|75|83|70|81|42|83
Odion Ighalo|Al Hilal|MBS Pro League|ST|81|77|82|83|80|62|68
Serhou Guirassy|Stade Rennais FC|Ligue 1 Uber Eats|ST|81|68|77|82|80|73|80
Niklas Stark|Hertha Berlin|Bundesliga|CDM|81|81|75|76|79|79|81
Merih Demiral|Bergamo Calcio|Serie A TIM|CB|81|82|82|60|78|31|80
Valentin Rongier|OM|Ligue 1 Uber Eats|CDM|81|77|76|83|83|61|76
Luis Sinisterra|Feyenoord|Eredivisie|LW|81|94|78|73|87|41|64
Deniz Undav|Union SG|1A Pro League|ST|81|55|38|70|64|81|86
Amine Harit|OM|Ligue 1 Uber Eats|RM|81|84|55|73|77|80|81
Miranda|Real Betis|LaLiga Santander|LB|81|42|85|71|73|45|74
Leandro Cabrera|RCD Espanyol|LaLiga Santander|CB|81|84|67|75|79|78|84
Dejan Kulusevski|Spurs|Premier League|RW|81|74|85|77|82|32|68
Robert Glatzel|Hamburger SV|Bundesliga 2|ST|81|89|81|75|78|45|89
Anthony Martial|Sevilla FC|LaLiga Santander|ST|81|79|82|65|81|38|75
Pizzi|Başakşehir|Süper Lig|CM|81|74|71|77|82|78|79
Max Kruse|VfL Wolfsburg|Bundesliga|CF|81|79|51|75|79|81|80
Eduardo Camavinga|Real Madrid|LaLiga Santander|CM|81|85|81|74|82|38|83
Carlos Rodríguez|Cruz Azul|LIGA BBVA MX|CAM|81|88|82|79|81|39|70
Giovani Lo Celso|Villarreal CF|LaLiga Santander|CM|81|78|39|62|61|82|89
Krzysztof Piątek|Fiorentina|Serie A TIM|ST|81|80|53|72|74|80|83
Donny van de Beek|Everton|Premier League|CM|81|82|81|77|85|46|67
Abderrazak Hamdallah|Al Ittihad|MBS Pro League|ST|81|94|80|73|85|38|68
Patrick van Aanholt|Galatasaray|Süper Lig|LB|81|80|82|75|82|36|57
Nani|Venezia|Serie A TIM|LM|81|85|56|75|76|75|83
Vadis Odjidja-Ofoe|KAA Gent|1A Pro League|CAM|81|61|82|68|74|38|81
Takumi Minamino|Liverpool|Premier League|RW|81|80|79|79|84|69|69
Joachim Andersen|Crystal Palace|Premier League|CB|81|84|79|82|82|69|79
Patrick van Aanholt|Galatasaray|Süper Lig|LB|81|80|81|78|81|37|76
Moussa Marega|Al Hilal|MBS Pro League|ST|81|87|61|74|78|78|77
Rafael Leão|Milan|Serie A TIM|LM|81|91|81|77|80|73|83
Demarai Gray|Everton|Premier League|LM|81|83|82|83|84|38|69
Matheus Nunes|Sporting CP|Liga Portugal|CM|81|72|79|78|85|59|70
Matheus Luiz Nunes|Sporting CP|Liga Portugal|CM|81|71|67|80|78|77|78
Kévin Gameiro|Strasbourg|Ligue 1 Uber Eats|ST|81|82|71|76|85|79|87
Benjamin Hübner|TSG Hoffenheim|Bundesliga|CB|81|77|69|77|72|80|84
Edin Višća|Trabzonspor|Süper Lig|RM|81|93|60|73|76|72|82
Brais Méndez|RC Celta|LaLiga Santander|RM|81|74|84|75|75|53|87
Salomón Rondón|Everton|Premier League|ST|81|83|84|82|81|51|62
Borna Barišić|Rangers|cinch Premiership|LB|81|77|70|77|80|77|84
Orkun Kökçü|Feyenoord|Eredivisie|CM|81|75|32|66|72|83|82
Hwang Ui Jo|Bordeaux|Ligue 1 Uber Eats|ST|81|78|65|75|75|80|82
Stephy Mavididi|Montpellier|Ligue 1 Uber Eats|LM|81|72|82|62|78|30|90
Daniele Rugani|Piemonte Calcio|Serie A TIM|CB|81|93|77|78|82|60|75
Kyle Walker-Peters|Southampton|Premier League|RB|81|78|77|82|83|47|74
Wahbi Khazri|AS Saint-Étienne|Ligue 1 Uber Eats|LW|81|95|75|74|86|35|70
Cristiano Biraghi|Fiorentina|Serie A TIM|LB|81|85|80|82|81|72|78
Jeremiah St. Juste|1. FSV Mainz 05|Bundesliga|CB|81|85|82|75|82|44|76
Gianluca Caprari|Hellas Verona|Serie A TIM|CF|81|61|82|73|76|34|74
Jude Bellingham|Borussia Dortmund|Bundesliga|CM|81|68|71|82|86|68|60
Enes Ünal|Getafe CF|LaLiga Santander|ST|81|94|73|77|84|76|76
Alexis Mac Allister|Brighton|Premier League|LM|81|90|80|79|81|52|69
Aaron Mooy|Shanghai Port|Chinese Football Association Super League|CM|81|91|80|75|84|34|60
Stuart Dallas|Leeds United|Premier League|RWB|81|82|78|79|81|70|71
Boulaye Dia|Villarreal CF|LaLiga Santander|ST|81|78|68|80|79|77|80
Orkun Kökçü|Feyenoord|Eredivisie|CM|81|92|81|74|79|52|81
Justin Kluivert|OGC Nice|Ligue 1 Uber Eats|LM|81|81|80|78|83|60|75
Dan Burn|Brighton|Premier League|CB|81|83|81|75|76|49|79
Daniel Muñoz|KRC Genk|1A Pro League|RB|81|89|78|77|82|49|74
Jorge Molina|Granada CF|LaLiga Santander|ST|81|89|77|76|81|46|75
Silvan Widmer|1. FSV Mainz 05|Bundesliga|RWB|81|85|61|76|78|80|85
Manolo Gabbiadini|Sampdoria|Serie A TIM|CF|81|79|67|78|80|73|74
Darwin Núñez|SL Benfica|Liga Portugal|LW|81|79|84|70|80|45|70
Michy Batshuayi|Beşiktaş|Süper Lig|ST|81|71|81|68|77|36|86
Niklas Dorsch|FC Augsburg|Bundesliga|CDM|81|87|78|77|79|55|86
Evan Ndicka|Frankfurt|Bundesliga|CB|81|86|77|76|80|43|78
Marko Livaja|Hajduk Split|Liga Hrvatska|ST|81|86|79|78|83|47|73
Martin Terrier|Stade Rennais FC|Ligue 1 Uber Eats|LW|81|82|70|82|80|78|80
Attila Szalai|Fenerbahçe|Süper Lig|CB|81|84|55|77|84|76|77
Frédéric Guilbert|Strasbourg|Ligue 1 Uber Eats|RWB|81|69|33|60|64|83|80
Max-Alain Gradel|Sivasspor|Süper Lig|LW|81|67|55|60|64|83|84
Ihlas Bebou|TSG Hoffenheim|Bundesliga|RW|81|90|67|78|86|73|72
Juanmi|Real Betis|LaLiga Santander|LM|81|78|82|71|79|36|83
Fabien Centonze|FC Metz|Ligue 1 Uber Eats|RWB|81|84|71|78|83|37|68
Christian Benteke|Crystal Palace|Premier League|ST|81|67|51|67|65|81|85
